                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3304,                 3.1233,                0.91338,                 0.0008,                0.57143,                0.00155,                0.00061,                 1.3893,                 9.0623,                0.86807,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.2889,                 1.9988,                0.89288,                      1,                0.34797,                0.52302,                0.31437,                  1.445,                 6.4761,                0.87307,              0.0013013,              0.0013013,              0.0013013
                      3,                 1.1728,                 1.5194,                0.88928,                0.91074,                0.48657,                0.64289,                0.39651,                 1.3923,                 4.9972,                0.88638,              0.0019417,              0.0019417,              0.0019417
                      4,                 1.1477,                 1.2569,                0.88098,                 0.7093,                0.47619,                0.55222,                0.32793,                 1.4634,                 3.5988,                0.88516,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1541,                 1.1204,                0.88344,                0.80732,                0.52381,                 0.6097,                0.38484,                 1.4125,                 3.2005,                0.86985,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1053,                 1.0286,                0.87885,                0.86155,                0.59347,                0.67744,                0.44765,                 1.4454,                 2.6238,                0.88124,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0651,                0.91527,                0.85927,                0.85462,                0.56049,                 0.6756,                0.43736,                 1.2637,                 1.9295,                0.84147,               0.001901,               0.001901,               0.001901
                      8,                  1.086,                0.87098,                0.86177,                0.95656,                0.52381,                0.69015,                0.45114,                 1.2695,                 2.3281,                0.84454,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0381,                0.80113,                0.86231,                0.92756,                0.52381,                0.72251,                0.43932,                 1.3709,                 1.6914,                0.86443,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0104,                0.77025,                0.85653,                0.84755,                0.66667,                0.75013,                0.46837,                 1.3353,                 1.3096,                0.84655,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0104,                0.73961,                0.85129,                 0.8743,                0.66267,                0.72379,                0.51699,                 1.0345,                  1.282,                0.82414,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.9574,                0.70607,                0.84339,                0.92102,                0.55611,                0.71162,                0.44804,                 1.2535,                 1.7031,                0.83756,               0.001802,               0.001802,               0.001802
                     13,                  1.023,                0.71721,                0.85223,                0.92468,                0.52381,                0.70166,                0.49425,                 1.1781,                 2.0596,                0.83682,              0.0017822,              0.0017822,              0.0017822
                     14,                0.97832,                0.67155,                 0.8549,                0.93072,                0.57143,                0.71853,                0.48791,                 1.1559,                 1.6941,                0.84077,              0.0017624,              0.0017624,              0.0017624
                     15,                0.96118,                 0.6538,                0.84511,                0.96745,                0.61905,                0.72774,                0.45763,                 1.2772,                 1.2481,                 0.8514,              0.0017426,              0.0017426,              0.0017426
                     16,                0.95563,                0.63342,                0.85382,                      1,                0.61727,                0.77617,                0.50091,                 1.2287,                0.98631,                 0.8413,              0.0017228,              0.0017228,              0.0017228
                     17,                0.87967,                0.58247,                0.83672,                0.98332,                0.61905,                0.75241,                 0.5162,                 1.2524,                0.82792,                0.84149,               0.001703,               0.001703,               0.001703
                     18,                0.89543,                 0.6074,                0.84417,                0.77714,                0.66435,                0.74404,                0.54164,                  1.141,                 1.3992,                0.83151,              0.0016832,              0.0016832,              0.0016832
                     19,                0.87945,                0.60354,                0.83299,                0.97632,                0.57143,                0.75856,                0.51412,                 1.1982,                0.93607,                0.83443,              0.0016634,              0.0016634,              0.0016634
                     20,                0.88477,                0.59534,                0.83542,                0.86555,                0.66667,                0.73553,                0.55175,                 1.0705,                 1.3365,                0.83553,              0.0016436,              0.0016436,              0.0016436
                     21,                0.88644,                0.56886,                0.83975,                0.87251,                0.66667,                0.75798,                0.54244,                 1.0646,                 1.0817,                0.82369,              0.0016238,              0.0016238,              0.0016238
                     22,                0.87386,                0.57204,                0.83608,                0.80587,                0.66667,                0.74771,                0.52117,                 1.0383,                 1.2085,                0.81867,               0.001604,               0.001604,               0.001604
                     23,                0.86712,                 0.5738,                0.82821,                0.97145,                0.61905,                0.74071,                0.56213,                0.98082,                  1.356,                0.81837,              0.0015842,              0.0015842,              0.0015842
                     24,                0.82822,                0.53689,                0.82913,                0.90224,                0.66667,                0.76306,                0.50634,                 1.2694,                0.86269,                0.84929,              0.0015644,              0.0015644,              0.0015644
                     25,                0.89612,                0.57707,                 0.8284,                0.96652,                0.61905,                0.73543,                0.52298,                 1.1662,                 1.0492,                 0.8334,              0.0015446,              0.0015446,              0.0015446
                     26,                0.84481,                0.57191,                0.82612,                0.69841,                0.80952,                0.80001,                0.61855,                0.91573,                 1.1189,                 0.8187,              0.0015248,              0.0015248,              0.0015248
                     27,                0.84075,                0.55132,                0.82579,                0.93642,                0.70196,                  0.787,                0.55955,                 1.0395,                0.88421,                0.83258,               0.001505,               0.001505,               0.001505
