                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3802,                 4.3097,                0.95362,                0.00093,                0.66667,                0.00154,                0.00068,                 1.5023,                 8.6835,                 0.8822,                 0.0002,                 0.0002,                 0.0002
                      2,                  1.223,                 2.5181,                0.87355,                0.00093,                0.66667,                0.00167,                0.00073,                 1.3017,                 7.6973,                0.83414,              0.0004148,              0.0004148,              0.0004148
                      3,                 1.1501,                 1.8174,                0.87002,                0.00093,                0.66667,                0.00202,                0.00098,                 1.1464,                 6.8455,                0.82124,             0.00062416,             0.00062416,             0.00062416
                      4,                 1.0615,                 1.5587,                0.86049,                0.00087,                0.61905,                0.00713,                0.00443,                 1.4727,                 6.2765,                0.86323,             0.00082807,             0.00082807,             0.00082807
                      5,                  1.072,                 1.3583,                 0.8601,                0.00107,                 0.7619,                0.01169,                0.00568,                 1.3257,                 6.2293,                 0.8534,              0.0010265,              0.0010265,              0.0010265
                      6,                 1.0728,                 1.2589,                0.86103,                0.00206,                0.61905,                0.45177,                0.31052,                 1.1837,                 4.8208,                0.83234,              0.0012196,              0.0012196,              0.0012196
                      7,                 1.0211,                 1.1511,                0.85251,                      1,                0.16506,                0.36048,                0.23198,                 1.2656,                 4.3141,                0.85816,              0.0014071,              0.0014071,              0.0014071
                      8,                 1.0124,                 1.0544,                0.84186,                  0.896,                0.41142,                0.63336,                0.36666,                 1.2547,                 3.4594,                0.85724,              0.0015893,              0.0015893,              0.0015893
                      9,                 1.0495,                 0.9513,                0.86586,                0.85667,                0.28478,                0.34511,                0.22068,                 1.5118,                  3.716,                0.88618,               0.001766,               0.001766,               0.001766
                     10,                 1.0539,                0.88301,                0.85898,                0.78918,                0.47619,                0.66081,                0.38335,                 1.5575,                 2.3294,                0.90122,              0.0017772,              0.0017772,              0.0017772
