                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4212,                 6.7515,                0.97321,                      0,                      0,                      0,                      0,                  1.526,                 12.086,                0.88597,             6.8971e-05,             6.8971e-05,             6.8971e-05
                      2,                 1.4113,                  6.154,                0.87715,                      0,                      0,                      0,                      0,                 1.3249,                 11.272,                0.86923,             0.00013824,             0.00013824,             0.00013824
                      3,                 1.2885,                 5.3024,                0.85859,                0.25774,                0.21154,                0.09672,                0.06529,                 1.3465,                 11.671,                0.85923,             0.00020575,             0.00020575,             0.00020575
                      4,                 1.2447,                 4.8559,                 0.8563,                0.91002,                0.07692,                0.23804,                0.17936,                 1.4763,                 11.053,                0.87349,             0.00020509,             0.00020509,             0.00020509
                      5,                 1.2121,                 4.6336,                0.85611,                0.91275,                0.07692,                0.26681,                 0.2004,                 1.4436,                 10.675,                0.86602,             0.00020509,             0.00020509,             0.00020509
                      6,                 1.1456,                 4.2448,                 0.8544,                 0.4629,                0.14182,                0.32515,                0.18643,                 1.4375,                 10.065,                0.85887,             0.00020246,             0.00020246,             0.00020246
                      7,                 1.1179,                 4.0672,                0.84295,                0.47593,                0.21158,                 0.3529,                0.25138,                  1.354,                 10.363,                0.85462,             0.00019982,             0.00019982,             0.00019982
                      8,                 1.0874,                 3.8997,                0.83783,                0.41341,                0.19171,                0.36343,                 0.2537,                  1.378,                 9.4753,                0.84781,             0.00019718,             0.00019718,             0.00019718
                      9,                 1.1355,                 3.7618,                0.83979,                0.54216,                0.28283,                0.35203,                0.24477,                 1.3312,                 9.7721,                0.85125,             0.00019455,             0.00019455,             0.00019455
                     10,                 1.0965,                 3.5133,                0.84746,                0.32776,                0.18795,                0.37698,                0.26314,                 1.4554,                 9.1527,                0.86048,             0.00019191,             0.00019191,             0.00019191
                     11,                 1.0592,                 3.4254,                0.83442,                0.46118,                0.30059,                0.46222,                0.33912,                 1.3756,                 9.0138,                0.86097,             0.00018928,             0.00018928,             0.00018928
                     12,                  1.021,                 3.2093,                0.83163,                0.55711,                0.28846,                 0.3918,                0.27163,                 1.3893,                 8.7758,                 0.8602,             0.00018664,             0.00018664,             0.00018664
                     13,                 1.0307,                 3.1428,                0.83769,                0.43272,                0.31415,                0.44097,                0.30771,                 1.3166,                 8.6001,                0.86241,             0.00018401,             0.00018401,             0.00018401
                     14,                0.99605,                 2.9723,                0.83908,                0.43594,                0.45625,                0.42512,                0.31383,                 1.2403,                 8.3918,                 0.8459,             0.00018137,             0.00018137,             0.00018137
                     15,                0.98901,                 2.9683,                0.83578,                0.50202,                 0.4552,                0.44854,                0.29978,                 1.2733,                   8.41,                  0.851,             0.00017873,             0.00017873,             0.00017873
                     16,                0.97045,                 2.8186,                0.83316,                0.50078,                0.40385,                0.44167,                0.31812,                 1.2085,                 7.9258,                0.83884,              0.0001761,              0.0001761,              0.0001761
                     17,                0.91024,                 2.7321,                  0.824,                0.49985,                0.40742,                0.51547,                0.38179,                 1.2164,                 7.2878,                 0.8425,             0.00017346,             0.00017346,             0.00017346
                     18,                0.91978,                 2.7771,                0.83551,                0.51296,                0.56625,                 0.5631,                0.40234,                 1.2073,                 7.4434,                0.84216,             0.00017083,             0.00017083,             0.00017083
                     19,                0.93354,                 2.6379,                0.83074,                0.40202,                0.48975,                 0.4805,                0.34733,                 1.2548,                  7.785,                0.84371,             0.00016819,             0.00016819,             0.00016819
                     20,                0.91781,                 2.6374,                0.83053,                0.48351,                0.47287,                0.42237,                0.28691,                 1.3012,                 7.1718,                0.84735,             0.00016555,             0.00016555,             0.00016555
                     21,                0.94544,                 2.6197,                0.83345,                0.46394,                0.39825,                0.44193,                0.32122,                 1.2029,                 6.9936,                0.84556,             0.00016292,             0.00016292,             0.00016292
                     22,                0.88759,                 2.4585,                0.82702,                 0.5883,                0.41618,                0.48097,                0.36463,                 1.1247,                 6.9901,                0.83988,             0.00016028,             0.00016028,             0.00016028
                     23,                0.90146,                 2.5505,                0.82163,                0.48723,                0.54368,                0.47525,                 0.3487,                 1.1234,                 7.0703,                0.83649,             0.00015765,             0.00015765,             0.00015765
                     24,                0.88006,                 2.3283,                0.82266,                0.63337,                0.34615,                0.52752,                0.39639,                 1.1636,                 6.9119,                0.84171,             0.00015501,             0.00015501,             0.00015501
                     25,                 0.8881,                 2.3351,                0.81908,                0.43816,                0.47543,                0.49734,                0.36427,                 1.2298,                 7.1942,                0.84397,             0.00015237,             0.00015237,             0.00015237
                     26,                0.86935,                 2.2703,                0.81891,                0.50043,                0.40425,                0.46068,                0.33429,                 1.1379,                 6.2593,                0.84087,             0.00014974,             0.00014974,             0.00014974
